Gender,Attrition/Retention ,Age group,Department,Education Switch Calc,Job Role,Attrition,Attrition Label,Education,Education Field,Switch Attrition/Retention ,0,Age,Attrition Count,Employee Count,Job Involvement,Job Level,Job Satisfaction,Relationship Satisfaction,Work Life Balance,Environment Satisfaction,Attrition,CF_current Employee,Total Working Years,Years In Current Role,Monthly Income,
Male,Retention,35-44,R & D,Associates Degree,Healthcare Representative,No,Current Employees,Associates Degree,Medical,TRUE,0,35,,1,2,3,1,3,3,3,No,1,10,0,9884,
Female,Retention,25-34,Sales,Bachelor's Degree,Sales Executive,No,Current Employees,Bachelor's Degree,Marketing,TRUE,0,26,,1,2,2,4,3,2,3,No,1,5,2,4157,
Female,Retention,25-34,R & D,Associates Degree,Research Director,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,33,,1,3,3,4,3,3,1,No,1,15,14,13458,
Male,Retention,35-44,Sales,Doctoral Degree,Sales Executive,No,Current Employees,Doctoral Degree,Life Sciences,TRUE,0,35,,1,3,3,1,4,2,2,No,1,9,8,9069,
Female,Retention,35-44,R & D,Master's Degree,Laboratory Technician,No,Current Employees,Master's Degree,Medical,TRUE,0,35,,1,3,1,1,3,3,3,No,1,4,2,4014,
Male,Retention,25-34,R & D,Master's Degree,Laboratory Technician,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,31,,1,3,2,4,4,2,4,No,1,10,7,5915,
Male,Retention,35-44,R & D,Master's Degree,Manufacturing Director,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,37,,1,2,2,3,3,4,1,No,1,7,5,5993,
Male,Retention,25-34,R & D,Bachelor's Degree,Manufacturing Director,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,32,,1,3,2,4,2,3,1,No,1,9,8,6162,
Female,Retention,35-44,R & D,Doctoral Degree,Laboratory Technician,No,Current Employees,Doctoral Degree,Life Sciences,TRUE,0,38,,1,3,2,4,4,3,4,No,1,10,3,2406,
Female,Retention,45-55,R & D,Associates Degree,Research Director,No,Current Employees,Associates Degree,Medical,TRUE,0,50,,1,2,5,3,4,2,2,No,1,29,3,18740,
Female,Retention,> 55,Sales,Bachelor's Degree,Sales Executive,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,59,,1,3,3,1,4,2,1,No,1,28,16,7637,
Female,Retention,35-44,R & D,Bachelor's Degree,Healthcare Representative,No,Current Employees,Bachelor's Degree,Technical Degree,TRUE,0,36,,1,3,3,3,2,3,3,No,1,17,14,10096,
Female,Retention,45-55,R & D,Bachelor's Degree,Manager,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,55,,1,3,4,3,3,3,4,No,1,21,0,14756,
Male,Retention,35-44,R & D,Bachelor's Degree,Manufacturing Director,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,36,,1,2,2,2,3,3,2,No,1,6,5,6499,
Male,Retention,45-55,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,45,,1,3,3,1,3,3,2,No,1,25,0,9724,
Male,Retention,35-44,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,35,,1,3,1,1,4,2,2,No,1,5,2,2194,
Male,Attrition,35-44,R & D,Bachelor's Degree,Research Scientist,Yes,Attrited Employees,Bachelor's Degree,Medical,TRUE,0,36,1,1,2,1,3,1,2,4,Yes,0,2,0,3388,
Female,Retention,> 55,Sales,High School,Sales Executive,No,Current Employees,High School,Life Sciences,TRUE,0,59,,1,2,2,3,4,2,1,No,1,20,3,5473,
Male,Retention,25-34,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,29,,1,3,1,2,4,3,3,No,1,6,4,2703,
Male,Retention,25-34,R & D,Master's Degree,Research Scientist,No,Current Employees,Master's Degree,Medical,TRUE,0,31,,1,3,1,2,2,3,3,No,1,1,1,2501,
Male,Retention,25-34,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,32,,1,3,2,2,2,3,2,No,1,10,4,6220,
Female,Retention,35-44,R & D,Bachelor's Degree,Laboratory Technician,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,36,,1,4,1,4,2,3,2,No,1,5,0,3038,
Female,Retention,25-34,R & D,Master's Degree,Manufacturing Director,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,31,,1,3,2,4,4,3,3,No,1,11,7,4424,
Male,Retention,35-44,Sales,Master's Degree,Sales Executive,No,Current Employees,Master's Degree,Marketing,TRUE,0,35,,1,2,2,1,2,3,3,No,1,16,13,4312,
Male,Retention,45-55,R & D,Master's Degree,Research Director,No,Current Employees,Master's Degree,Other,TRUE,0,45,,1,3,3,1,2,4,4,No,1,17,0,13245,
Male,Retention,35-44,R & D,Master's Degree,Research Director,No,Current Employees,Master's Degree,Medical,TRUE,0,37,,1,3,3,3,1,4,1,No,1,16,2,13664,
Male,Retention,45-55,HR,Associates Degree,Human Resources,No,Current Employees,Associates Degree,Medical,TRUE,0,46,,1,3,2,2,4,3,2,No,1,16,2,5021,
Male,Retention,25-34,R & D,High School,Laboratory Technician,No,Current Employees,High School,Life Sciences,TRUE,0,30,,1,2,2,4,3,2,4,No,1,10,8,5126,
Male,Retention,35-44,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,35,,1,2,1,3,1,3,2,No,1,6,4,2859,
Male,Retention,45-55,Sales,Associates Degree,Sales Executive,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,55,,1,3,3,4,4,3,1,No,1,24,0,10239,
Female,Retention,35-44,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,38,,1,1,2,4,4,3,2,No,1,17,11,5329,
Male,Retention,25-34,R & D,Associates Degree,Manufacturing Director,No,Current Employees,Associates Degree,Medical,TRUE,0,34,,1,3,2,2,3,3,1,No,1,5,2,4325,
Male,Retention,> 55,R & D,Bachelor's Degree,Manufacturing Director,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,56,,1,1,3,4,1,2,4,No,1,37,4,7260,
Male,Retention,< 25,Sales,High School,Sales Representative,No,Current Employees,High School,Technical Degree,TRUE,0,23,,1,3,1,1,3,3,3,No,1,3,0,2322,
Male,Retention,45-55,R & D,Master's Degree,Laboratory Technician,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,51,,1,3,1,4,2,3,4,No,1,10,2,2075,
Male,Retention,25-34,R & D,Bachelor's Degree,Healthcare Representative,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,30,,1,2,2,4,1,3,3,No,1,11,10,4152,
Male,Attrition,45-55,Sales,Associates Degree,Sales Executive,Yes,Attrited Employees,Associates Degree,Medical,TRUE,0,46,1,1,2,3,4,4,3,3,Yes,0,9,8,9619,
Male,Retention,35-44,R & D,Master's Degree,Healthcare Representative,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,40,,1,2,4,2,4,2,3,No,1,22,3,13503,
Male,Retention,45-55,Sales,Master's Degree,Sales Executive,No,Current Employees,Master's Degree,Marketing,TRUE,0,51,,1,3,2,4,4,1,3,No,1,11,7,5441,
Female,Retention,25-34,Sales,Associates Degree,Sales Executive,No,Current Employees,Associates Degree,Medical,TRUE,0,30,,1,2,2,2,2,2,3,No,1,11,8,5209,
Male,Retention,45-55,R & D,Bachelor's Degree,Healthcare Representative,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,46,,1,2,3,1,3,2,3,No,1,21,9,10673,
Male,Retention,25-34,Sales,Master's Degree,Sales Executive,No,Current Employees,Master's Degree,Medical,TRUE,0,32,,1,3,2,3,1,3,2,No,1,12,8,5010,
Female,Retention,45-55,R & D,Master's Degree,Research Director,No,Current Employees,Master's Degree,Technical Degree,TRUE,0,54,,1,3,3,3,1,1,1,No,1,16,3,13549,
Female,Retention,< 25,Sales,Associates Degree,Sales Executive,No,Current Employees,Associates Degree,Other,TRUE,0,24,,1,3,2,3,1,2,1,No,1,4,2,4999,
Male,Retention,25-34,Sales,Bachelor's Degree,Sales Executive,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,28,,1,3,2,3,2,4,2,No,1,5,4,4221,
Male,Retention,> 55,Sales,Master's Degree,Sales Executive,No,Current Employees,Master's Degree,Medical,TRUE,0,58,,1,3,4,3,3,2,4,No,1,38,10,13872,
Male,Retention,35-44,R & D,Bachelor's Degree,Laboratory Technician,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,44,,1,3,2,2,3,4,2,No,1,17,2,2042,
Male,Attrition,35-44,HR,Master's Degree,Human Resources,Yes,Attrited Employees,Master's Degree,Human Resources,TRUE,0,37,1,1,3,1,1,4,3,3,Yes,0,7,2,2073,
Male,Retention,25-34,R & D,High School,Research Scientist,No,Current Employees,High School,Life Sciences,TRUE,0,32,,1,3,1,1,4,3,4,No,1,1,0,2956,
Female,Attrition,< 25,R & D,Bachelor's Degree,Laboratory Technician,Yes,Attrited Employees,Bachelor's Degree,Life Sciences,TRUE,0,20,1,1,2,1,4,2,3,4,Yes,0,1,0,2926,
Female,Retention,25-34,R & D,Master's Degree,Research Scientist,No,Current Employees,Master's Degree,Other,TRUE,0,34,,1,3,2,3,3,3,1,No,1,16,13,4809,
Male,Retention,35-44,R & D,Associates Degree,Healthcare Representative,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,37,,1,2,2,4,4,4,3,No,1,17,0,5163,
Female,Retention,> 55,HR,Master's Degree,Manager,No,Current Employees,Master's Degree,Human Resources,TRUE,0,59,,1,2,5,4,4,3,3,No,1,30,2,18844,
Female,Retention,45-55,R & D,Bachelor's Degree,Research Director,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,50,,1,3,5,2,1,2,1,No,1,28,3,18172,
Male,Attrition,25-34,Sales,Bachelor's Degree,Sales Executive,Yes,Attrited Employees,Bachelor's Degree,Marketing,TRUE,0,25,1,1,2,2,3,4,3,3,Yes,0,6,4,5744,
Male,Retention,25-34,R & D,High School,Research Scientist,No,Current Employees,High School,Medical,TRUE,0,25,,1,2,1,4,3,3,4,No,1,2,2,2889,
Female,Retention,< 25,R & D,Bachelor's Degree,Laboratory Technician,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,22,,1,3,1,4,3,3,2,No,1,1,0,2871,
Female,Retention,45-55,R & D,Master's Degree,Healthcare Representative,No,Current Employees,Master's Degree,Medical,TRUE,0,51,,1,2,3,1,3,2,1,No,1,23,12,7484,
Male,Attrition,25-34,R & D,Bachelor's Degree,Laboratory Technician,Yes,Attrited Employees,Bachelor's Degree,Life Sciences,TRUE,0,34,1,1,1,2,3,4,3,1,Yes,0,9,7,6074,
Female,Retention,45-55,HR,Bachelor's Degree,Manager,No,Current Employees,Bachelor's Degree,Human Resources,TRUE,0,54,,1,4,4,4,3,3,4,No,1,23,3,17328,
Male,Retention,< 25,R & D,High School,Laboratory Technician,No,Current Employees,High School,Life Sciences,TRUE,0,24,,1,3,1,3,3,3,2,No,1,6,3,2774,
Female,Retention,25-34,R & D,Master's Degree,Research Scientist,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,34,,1,2,2,2,3,3,3,No,1,12,0,4505,
Male,Retention,35-44,Sales,Bachelor's Degree,Sales Executive,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,37,,1,3,3,4,1,3,3,No,1,12,3,7428,
Female,Retention,25-34,R & D,Bachelor's Degree,Manager,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,34,,1,2,3,1,4,3,3,No,1,14,10,11631,
Female,Retention,35-44,Sales,Associates Degree,Sales Executive,No,Current Employees,Associates Degree,Technical Degree,TRUE,0,36,,1,3,3,4,3,3,2,No,1,10,7,9738,
Female,Retention,35-44,R & D,Associates Degree,Laboratory Technician,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,36,,1,3,1,4,1,3,1,No,1,7,0,2835,
Male,Retention,35-44,Sales,Associates Degree,Manager,No,Current Employees,Associates Degree,Life Sciences,TRUE,0,43,,1,3,4,4,4,4,3,No,1,25,12,16959,
Male,Retention,25-34,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,30,,1,1,1,3,3,2,1,No,1,10,7,2613,
Male,Retention,25-34,Sales,Associates Degree,Sales Executive,No,Current Employees,Associates Degree,Marketing,TRUE,0,33,,1,3,2,2,1,4,3,No,1,8,7,6146,
Female,Attrition,> 55,R & D,Master's Degree,Research Scientist,Yes,Attrited Employees,Master's Degree,Life Sciences,TRUE,0,56,1,1,3,1,2,1,3,2,Yes,0,7,4,4963,
Male,Retention,45-55,R & D,Bachelor's Degree,Research Director,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,51,,1,3,5,3,3,3,1,No,1,23,18,19537,
Male,Attrition,25-34,Sales,Master's Degree,Sales Executive,Yes,Attrited Employees,Master's Degree,Life Sciences,TRUE,0,31,1,1,1,2,3,2,2,2,Yes,0,12,7,6172,
Female,Retention,25-34,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Other,TRUE,0,26,,1,2,1,2,3,2,3,No,1,5,4,2368,
Female,Attrition,> 55,R & D,Master's Degree,Healthcare Representative,Yes,Attrited Employees,Master's Degree,Medical,TRUE,0,58,1,1,3,3,4,4,2,4,Yes,0,40,10,10312,
Male,Attrition,< 25,Sales,High School,Sales Representative,Yes,Attrited Employees,High School,Marketing,TRUE,0,19,1,1,3,1,3,4,2,4,Yes,0,0,0,1675,
Male,Retention,< 25,R & D,High School,Laboratory Technician,No,Current Employees,High School,Technical Degree,TRUE,0,22,,1,3,1,4,3,3,3,No,1,3,1,2523,
Female,Retention,45-55,R & D,Master's Degree,Manufacturing Director,No,Current Employees,Master's Degree,Medical,TRUE,0,49,,1,3,2,1,3,2,3,No,1,16,11,6567,
Female,Retention,35-44,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,43,,1,4,1,3,4,3,2,No,1,18,2,4739,
Female,Retention,45-55,Sales,Bachelor's Degree,Sales Executive,No,Current Employees,Bachelor's Degree,Marketing,TRUE,0,50,,1,3,3,4,4,3,3,No,1,16,2,9208,
Female,Attrition,25-34,Sales,Bachelor's Degree,Sales Executive,Yes,Attrited Employees,Bachelor's Degree,Life Sciences,TRUE,0,31,1,1,1,2,3,3,3,2,Yes,0,4,2,4559,
Male,Retention,35-44,Sales,High School,Sales Executive,No,Current Employees,High School,Life Sciences,TRUE,0,41,,1,3,3,3,3,3,3,No,1,12,7,8189,
Female,Retention,25-34,HR,High School,Human Resources,No,Current Employees,High School,Life Sciences,TRUE,0,26,,1,3,1,3,4,3,3,No,1,8,7,2942,
Male,Retention,35-44,R & D,Associates Degree,Manufacturing Director,No,Current Employees,Associates Degree,Medical,TRUE,0,36,,1,3,2,2,4,3,2,No,1,7,2,4941,
Male,Attrition,45-55,R & D,Master's Degree,Manufacturing Director,Yes,Attrited Employees,Master's Degree,Life Sciences,TRUE,0,51,1,1,1,3,4,4,3,1,Yes,0,18,2,10650,
Female,Retention,35-44,Sales,Master's Degree,Sales Executive,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,39,,1,2,2,3,3,4,4,No,1,17,11,5902,
Male,Retention,25-34,Sales,Bachelor's Degree,Sales Executive,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,25,,1,2,2,3,4,3,1,No,1,6,2,8639,
Male,Retention,25-34,HR,Bachelor's Degree,Human Resources,No,Current Employees,Bachelor's Degree,Human Resources,TRUE,0,30,,1,3,2,4,4,1,3,No,1,12,9,6347,
Female,Attrition,25-34,R & D,Bachelor's Degree,Laboratory Technician,Yes,Attrited Employees,Bachelor's Degree,Medical,TRUE,0,32,1,1,3,1,1,1,4,1,Yes,0,10,4,4200,
Male,Retention,45-55,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,45,,1,3,1,4,2,2,3,No,1,9,5,3452,
Female,Retention,35-44,R & D,Doctoral Degree,Research Scientist,No,Current Employees,Doctoral Degree,Technical Degree,TRUE,0,38,,1,3,2,3,2,3,4,No,1,19,2,4317,
Female,Retention,25-34,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,30,,1,3,1,3,3,2,1,No,1,5,4,2632,
Male,Retention,25-34,Sales,Associates Degree,Sales Executive,No,Current Employees,Associates Degree,Medical,TRUE,0,32,,1,1,2,4,4,4,4,No,1,9,7,4668,
Female,Retention,25-34,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Technical Degree,TRUE,0,30,,1,3,1,1,4,3,4,No,1,8,2,3204,
Male,Retention,25-34,R & D,High School,Laboratory Technician,No,Current Employees,High School,Medical,TRUE,0,30,,1,2,1,4,4,3,2,No,1,6,3,2720,
Male,Retention,35-44,R & D,Bachelor's Degree,Manager,No,Current Employees,Bachelor's Degree,Life Sciences,TRUE,0,41,,1,2,4,1,2,2,4,No,1,21,6,17181,
Male,Retention,35-44,R & D,Master's Degree,Laboratory Technician,No,Current Employees,Master's Degree,Life Sciences,TRUE,0,41,,1,3,1,1,4,3,3,No,1,7,0,2238,
Female,Retention,< 25,R & D,High School,Laboratory Technician,No,Current Employees,High School,Medical,TRUE,0,19,,1,3,1,2,4,3,2,No,1,1,0,1483,
Female,Retention,35-44,R & D,Bachelor's Degree,Research Scientist,No,Current Employees,Bachelor's Degree,Medical,TRUE,0,40,,1,3,2,2,1,3,2,No,1,20,7,5605,
Male,Retention,35-44,Sales,Doctoral Degree,Sales Executive,No,Current Employees,Doctoral Degree,Marketing,TRUE,0,35,,1,3,3,2,1,3,3,No,1,10,8,7295,
Male,Retention,45-55,Sales,Associates Degree,Sales Representative,No,Current Employees,Associates Degree,Marketing,TRUE,0,53,,1,3,2,3,4,1,2,No,1,13,7,2306,
